,ID,Thread,Port,Event,Index,cstruct
515,r516,T2,9688008,recv,5,"['s29', 's38', 's20', 's11', 's1', 's2', 's46', 'r513', 's4', 's19', 's28', 's10', 'r510', 's55', 'r218', 'r4', 's64', 's37']"
516,r517,T4,9688008,recv,5,"['s38', 's29', 'r509', 's20', 's11', 's2', 'r514', 's56', 's65', 's47', 'r511', 'r9', 's9', 's36', 's27', 's18']"
517,r518,T1,9688008,recv,6,"['r3', 's63', 'r512', 'r515', 's1', 'r107', 's46', 's19', 's54', 's45', 'r103', 's28', 's10', 's9', 's36', 's27', 's18', 's37']"
518,r519,T2,9688008,recv,6,"['s29', 's38', 's46', 'r513', 's10', 'r510', 'r4', 's20', 's28', 'r218', 's55', 's64', 'r516', 's37', 's2', 's19', 's11', 's1', 's4']"
519,r520,T1,9688008,recv,7,"['r3', 'r518', 'r512', 's46', 's45', 's10', 's36', 's27', 's54', 'r103', 's28', 's37', 'r515', 's63', 's19', 'r107', 's1', 's9', 's18']"
520,r521,T2,9688008,recv,7,"['s38', 's29', 's46', 'r513', 's10', 'r510', 'r4', 's20', 's47', 's28', 'r218', 's55', 's64', 'r516', 's37', 'r519', 's2', 's19', 's11', 's1', 's4']"
521,r522,T4,9688008,recv,6,"['s38', 's29', 'r509', 's20', 's11', 's2', 'r514', 's56', 's65', 's45', 's47', 'r517', 'r511', 'r9', 's9', 's36', 's27', 's18']"
522,r523,T1,9688008,recv,8,"['r3', 'r518', 'r512', 's46', 's45', 's10', 's36', 's27', 's54', 'r520', 'r103', 's28', 's37', 'r515', 's63', 's19', 'r107', 's1', 's9', 's18']"
523,r524,T2,9688008,recv,8,"['s38', 's29', 's46', 'r513', 'r521', 's10', 'r510', 'r4', 's20', 's47', 's28', 'r218', 's55', 's64', 'r516', 's37', 'r519', 's2', 's19', 's11', 's1', 's4']"
524,r525,T4,9688008,recv,7,"['s38', 's29', 's45', 's36', 's27', 's20', 'r514', 's56', 's47', 'r509', 's2', 'r522', 's65', 'r517', 's11', 'r511', 'r9', 's9', 's18']"
